Omr_stn	Omr	stn	Lnr	Northing	Easting	Top	Akvifertyp	Geohylag	Jordart	Taeckt	Bergart	MagasinStl
16_26	16	26	2	6515110	459703	09ESV	JÖ	Vatdelläge	MN	XX	GRA	
72_105	72	105	3	6241274	522302	03FNV	KÖ	Intermed omr	MN	XX	GRA	
72_101	72	101	2	6241126	521874	03FNV	KÖ	Vatdelläge	MN	XX	GRA	Liten
74_1	74	1	2	6393889	426259	06DNO	JÖ	Instromr	MN	XX	GNE	Liten
75_5	75	5	1	6581847	596392	10GNO	BS	Intermed omr	MN	XX	GNE	Liten
75_4	75	4	1	6580033	596044	10GNO	JÖ	Instromr	GR	XX	GNE	
80_1	80	1	1	7073683	406320	20DSV	JÖ		MN	XX	FJ?	Liten
80_2	80	2	1	7069316	402456	20DSV	JÖ		MN	XX	FJ?	
83_2	83	2	1	7313933	501471	25FSV	JÖ			XX	GLS	Liten
84_13	84	13	1	6374683	549540	06GNV						
84_11	84	11	1	6374958	549187	06GNV						Stor
84_105	84	105	2	6402210	535780	07FSO	JÖ	Intermed omr	SA	XX	GRA	
84_12	84	12	1	6374771	549409	06GNV						
84_14	84	14	1	6374735	549739	06GNV						
84_15	84	15	1	6374587	549911	06GNV						
84_18	84	18	1	6374558	549591	06GNV						
84_41	84	41	1	6406354	543795	07FSO	KÖ	Instromr	MN	XX	GNE	
84_42	84	42	1	6406457	544014	07FSO	KÖ	Instromr	MN	XX	GNE	
84_52	84	52	1	6349960	538537	06FSO	JÖ	Instromr	MN	XX	GNE	
84_53	84	53	1	6349800	538558	06FSO	JÖ	Instromr	MN	XX	GNE	
84_54	84	54	1	6349591	538671	06FSO	JÖ	Instromr	SA	XX	GNE	
84_55	84	55	1	6348963	538748	06FSO	JÖ	Instromr	SA	XX	GNE	
84_101	84	101	2	6402396	535639	07FSO	BÖ	Instromr	MN	XX	GRA	Liten
84_102	84	102	2	6402355	535726	07FSO	JÖ	Instromr	GR	XX	GRA	
84_103	84	103	2	6402365	535766	07FSO	JÖ	Instromr	GR	XX	GRA	Liten
84_104	84	104	2	6402218	535679	07FSO	BÖ	Instromr	MN	XX	GRA	
84_106	84	106	2	6402212	535845	07FSO	JÖ	Utstromr	SA	XX	GRA	
84_51	84	51	1	6350030	538556	06FSO	JÖ	Instromr	MN	XX	GNE	
85_101	85	101	1	6283434	368684	04CNV						
85_102	85	102	1	6301156	378377	05CSO						
87_1	87	1	1	6478576	747542	08KNV	JÖ	Instromr	SA	XX	KST	Stor
87_2	87	2	1	6479518	745171	08JNO	JÖ	Instromr	SA	XX	KST	
89_7	89	7	3	6609471	524461	11FSO	JÖ	Intermed omr	MN	XX	GRA	Liten
89_5	89	5	3	6609464	524357	11FSO	JÖ	Vatdelläge	MN	XX	GRA	Liten
89_2	89	2	3	6609346	524379	11FSO	JÖ	Instromr	MN	XX	GRA	
89_3	89	3	3	6609346	524379	11FSO	JÖ	Instromr	MN	XX	GRA	
89_4	89	4	3	6609356	524429	11FSO	JÖ	Vatdelläge	MN	XX	GRA	
89_6	89	6	3	6609476	524412	11FSO	JÖ	Instromr	MN	XX	GRA	Liten
93_1	93	1	1	6842957	629914	15HNO	JÖ	Utstromr	MN			
95_2	95	2	1	6631576	656190	11INV	JS	Utstromr	MN	L		Liten
96_2	96	2	1	6572639	701568	10JSV	BS	Utstromr	MN	MN		
96_1	96	1	1	6573638	701547	10JSV	BÖ	Instromr				
97_1	97	1	1	6691911	637579		JÖ		L	LE		
98_3	98	3	1	6633345	696052	11JNV	JÖ	Instromr	GR	XX		
98_4	98	4	1	6637112	699357	11JNV	JÖ	Instromr	SA	XX		
98_1	98	1	1	6622064	692146	11ISO	JÖ	Instromr	SA	XX		
98_2	98	2	1	6622207	692987	11ISO	JS	Instromr	SA	LE		
50_6	50	6	1	6748910	463864	14ESV	JÖ	Instromr	GR	XX	POR	Stor
50_12	50	12	1	6749506	465412	14ESV	JÖ	Instromr	MN	XX	POR	
50_8	50	8	1	6749645	466529	14ESV	JÖ	Instromr	MN	XX	POR	
50_13	50	13	1	6749615	465385	14ESV	JÖ	Instromr	MN	XX	POR	
50_11	50	11	1	6749570	465392	14ESV	JÖ	Instromr	MN	XX	POR	Liten
52_2	52	2	1	6383865	321834	06BNV	JÖ	Instromr	MN	XX	GNE	Liten
52_8	52	8	1	6381140	321816	06BNV	JS	Utstromr	MN	LE	GNE	
52_9	52	9	1	6380712	322138	06BNV	JS	Utstromr	MN	TO	GNE	
52_13	52	13	1	6382779	320343	06BNV	JS	Intermed omr	MN	LE	GNE	
52_14	52	14	2	6383054	321747	06BNV	JS	Intermed omr	MN	LE	GNE	
52_11	52	11	1	6383050	321449	06BNV	JS	Utstromr	MN	LE	GNE	
53_1	53	1	1	6412934	313065	07BSV	JS	Utstromr	MN	LE	GNE	
64_2	64	2	2	6489197	581769	08GNO	JS	Instromr	MN	LV	GNE	Liten
65_2	65	2	1	6479604	547822	08GNV	JS	Intermed omr	MN	TO	GRA	
65_1	65	1	1	6479887	547417	08GNV	JS	Intermed omr	MN	LV	GRA	
